"Animal Class","year","month","count"
"Birds","2018","06",3
"Birds","2018","07",19
"Birds","2018","08",12
"Birds","2018","09",21
"Birds","2018","10",18
"Birds","2018","11",15
"Birds","2018","12",14
"Birds","2019","01",11
"Birds","2019","02",9
"Birds","2019","03",11
"Birds","2019","04",9
"Birds","2019","05",17
"Birds","2019","06",23
"Birds","2019","07",27
"Birds","2019","08",24
"Birds","2019","09",15
"Birds","2019","10",23
"Birds","2019","11",7
"Birds","2019","12",16
"Birds","2020","01",20
"Birds","2020","02",22
"Birds","2020","03",15
"Birds","2020","04",21
"Birds","2020","05",23
"Birds","2020","06",45
"Birds","2020","07",58
"Birds","2020","08",31
"Birds","2020","09",41
"Birds","2020","10",34
"Birds","2020","11",31
"Birds","2020","12",21
"Birds","2021","01",30
"Birds","2021","02",14
"Birds","2021","03",16
"Birds","2021","04",29
"Birds","2021","05",50
"Birds","2021","06",35
"Birds","2021","07",35
"Birds","2021","08",43
"Birds","2021","09",30
"Birds","2021","10",23
"Birds","2021","11",18
"Birds","2021","12",20
"Birds","2022","01",28
"Birds","2022","02",28
"Birds","2022","03",30
"Birds","2022","04",28
"Birds","2022","05",42
"Birds","2022","06",45
"Birds","2022","07",51
"Birds","2022","08",67
"Birds","2022","09",54
"Birds","2022","10",29
"Birds","2022","11",27
"Birds","2022","12",23
"Birds","2023","01",15
"Birds","2023","02",18
"Birds","2023","03",33
"Birds","2023","04",41
"Birds","2023","05",41
"Birds","2023","06",45
"Birds","2023","07",59
"Birds","2023","08",47
"Birds","2023","09",31
"Birds","2023","10",29
"Birds","2023","11",29
"Birds","2023","12",26
"Birds","2024","01",18
"Birds","2024","02",14
"Birds","2024","03",25
"Birds","2024","04",29
"Birds","2024","05",48
"Birds","2024","06",48
"Domestic","2018","07",3
"Domestic","2018","08",5
"Domestic","2018","09",10
"Domestic","2018","10",6
"Domestic","2018","11",3
"Domestic","2018","12",4
"Domestic","2019","01",6
"Domestic","2019","02",2
"Domestic","2019","03",3
"Domestic","2019","04",6
"Domestic","2019","05",5
"Domestic","2019","06",2
"Domestic","2019","07",3
"Domestic","2019","08",10
"Domestic","2019","09",11
"Domestic","2019","10",6
"Domestic","2019","11",10
"Domestic","2019","12",5
"Domestic","2020","01",6
"Domestic","2020","02",3
"Domestic","2020","03",5
"Domestic","2020","04",3
"Domestic","2020","05",4
"Domestic","2020","06",11
"Domestic","2020","07",7
"Domestic","2020","08",2
"Domestic","2020","09",6
"Domestic","2020","10",5
"Domestic","2020","11",4
"Domestic","2020","12",14
"Domestic","2021","01",6
"Domestic","2021","02",8
"Domestic","2021","03",9
"Domestic","2021","04",12
"Domestic","2021","05",16
"Domestic","2021","06",16
"Domestic","2021","07",16
"Domestic","2021","08",22
"Domestic","2021","09",8
"Domestic","2021","10",12
"Domestic","2021","11",17
"Domestic","2021","12",23
"Domestic","2022","01",12
"Domestic","2022","02",15
"Domestic","2022","03",11
"Domestic","2022","04",19
"Domestic","2022","05",16
"Domestic","2022","06",16
"Domestic","2022","07",30
"Domestic","2022","08",21
"Domestic","2022","09",23
"Domestic","2022","10",16
"Domestic","2022","11",20
"Domestic","2022","12",16
"Domestic","2023","01",18
"Domestic","2023","02",23
"Domestic","2023","03",17
"Domestic","2023","04",27
"Domestic","2023","05",27
"Domestic","2023","06",29
"Domestic","2023","07",28
"Domestic","2023","08",27
"Domestic","2023","09",26
"Domestic","2023","10",19
"Domestic","2023","11",17
"Domestic","2023","12",10
"Domestic","2024","01",39
"Domestic","2024","02",19
"Domestic","2024","03",21
"Domestic","2024","04",20
"Domestic","2024","05",20
"Domestic","2024","06",31
"Raptors","2018","05",1
"Raptors","2018","06",6
"Raptors","2018","07",6
"Raptors","2018","08",8
"Raptors","2018","09",4
"Raptors","2018","10",1
"Raptors","2018","11",4
"Raptors","2018","12",4
"Raptors","2019","01",3
"Raptors","2019","02",5
"Raptors","2019","03",1
"Raptors","2019","04",2
"Raptors","2019","05",3
"Raptors","2019","06",13
"Raptors","2019","07",5
"Raptors","2019","09",3
"Raptors","2019","10",1
"Raptors","2019","11",4
"Raptors","2019","12",3
"Raptors","2020","01",4
"Raptors","2020","02",1
"Raptors","2020","03",2
"Raptors","2020","04",3
"Raptors","2020","05",8
"Raptors","2020","06",4
"Raptors","2020","07",5
"Raptors","2020","08",6
"Raptors","2020","09",1
"Raptors","2020","10",6
"Raptors","2020","11",5
"Raptors","2020","12",10
"Raptors","2021","01",7
"Raptors","2021","02",6
"Raptors","2021","03",5
"Raptors","2021","04",6
"Raptors","2021","05",5
"Raptors","2021","06",11
"Raptors","2021","07",6
"Raptors","2021","08",12
"Raptors","2021","09",5
"Raptors","2021","10",7
"Raptors","2021","11",4
"Raptors","2021","12",5
"Raptors","2022","01",5
"Raptors","2022","02",9
"Raptors","2022","03",4
"Raptors","2022","04",3
"Raptors","2022","05",1
"Raptors","2022","06",16
"Raptors","2022","07",9
"Raptors","2022","08",3
"Raptors","2022","09",2
"Raptors","2022","10",3
"Raptors","2022","11",4
"Raptors","2022","12",7
"Raptors","2023","01",9
"Raptors","2023","02",9
"Raptors","2023","03",10
"Raptors","2023","04",13
"Raptors","2023","05",4
"Raptors","2023","06",5
"Raptors","2023","07",7
"Raptors","2023","08",5
"Raptors","2023","09",3
"Raptors","2023","10",5
"Raptors","2023","11",4
"Raptors","2024","01",1
"Raptors","2024","02",4
"Raptors","2024","03",5
"Raptors","2024","04",6
"Raptors","2024","05",4
"Raptors","2024","06",5
"Small Mammals","2018","05",2
"Small Mammals","2018","06",6
"Small Mammals","2018","07",107
"Small Mammals","2018","08",163
"Small Mammals","2018","09",39
"Small Mammals","2018","10",61
"Small Mammals","2018","11",83
"Small Mammals","2018","12",24
"Small Mammals","2019","01",15
"Small Mammals","2019","02",22
"Small Mammals","2019","03",43
"Small Mammals","2019","04",33
"Small Mammals","2019","05",14
"Small Mammals","2019","06",12
"Small Mammals","2019","07",20
"Small Mammals","2019","08",18
"Small Mammals","2019","09",13
"Small Mammals","2019","10",12
"Small Mammals","2019","11",14
"Small Mammals","2019","12",7
"Small Mammals","2020","01",16
"Small Mammals","2020","02",16
"Small Mammals","2020","03",15
"Small Mammals","2020","04",15
"Small Mammals","2020","05",18
"Small Mammals","2020","06",19
"Small Mammals","2020","07",20
"Small Mammals","2020","08",18
"Small Mammals","2020","09",29
"Small Mammals","2020","10",21
"Small Mammals","2020","11",11
"Small Mammals","2020","12",16
"Small Mammals","2021","01",18
"Small Mammals","2021","02",10
"Small Mammals","2021","03",13
"Small Mammals","2021","04",43
"Small Mammals","2021","05",20
"Small Mammals","2021","06",24
"Small Mammals","2021","07",28
"Small Mammals","2021","08",30
"Small Mammals","2021","09",19
"Small Mammals","2021","10",27
"Small Mammals","2021","11",19
"Small Mammals","2021","12",13
"Small Mammals","2022","01",12
"Small Mammals","2022","02",19
"Small Mammals","2022","03",21
"Small Mammals","2022","04",30
"Small Mammals","2022","05",24
"Small Mammals","2022","06",25
"Small Mammals","2022","07",27
"Small Mammals","2022","08",49
"Small Mammals","2022","09",49
"Small Mammals","2022","10",42
"Small Mammals","2022","11",21
"Small Mammals","2022","12",14
"Small Mammals","2023","01",26
"Small Mammals","2023","02",22
"Small Mammals","2023","03",40
"Small Mammals","2023","04",53
"Small Mammals","2023","05",69
"Small Mammals","2023","06",28
"Small Mammals","2023","07",34
"Small Mammals","2023","08",51
"Small Mammals","2023","09",35
"Small Mammals","2023","10",45
"Small Mammals","2023","11",27
"Small Mammals","2023","12",36
"Small Mammals","2024","01",31
"Small Mammals","2024","02",30
"Small Mammals","2024","03",32
"Small Mammals","2024","04",36
"Small Mammals","2024","05",33
"Small Mammals","2024","06",20
"Terrestrial Reptile or Amphibian","2018","07",2
"Terrestrial Reptile or Amphibian","2018","08",4
"Terrestrial Reptile or Amphibian","2018","09",3
"Terrestrial Reptile or Amphibian","2018","10",2
"Terrestrial Reptile or Amphibian","2018","11",2
"Terrestrial Reptile or Amphibian","2019","01",1
"Terrestrial Reptile or Amphibian","2019","02",1
"Terrestrial Reptile or Amphibian","2019","03",3
"Terrestrial Reptile or Amphibian","2019","04",3
"Terrestrial Reptile or Amphibian","2019","05",10
"Terrestrial Reptile or Amphibian","2019","06",6
"Terrestrial Reptile or Amphibian","2019","07",6
"Terrestrial Reptile or Amphibian","2019","08",4
"Terrestrial Reptile or Amphibian","2019","09",4
"Terrestrial Reptile or Amphibian","2019","10",5
"Terrestrial Reptile or Amphibian","2019","11",1
"Terrestrial Reptile or Amphibian","2020","03",1
"Terrestrial Reptile or Amphibian","2020","05",8
"Terrestrial Reptile or Amphibian","2020","06",17
"Terrestrial Reptile or Amphibian","2020","07",4
"Terrestrial Reptile or Amphibian","2020","08",3
"Terrestrial Reptile or Amphibian","2020","09",9
"Terrestrial Reptile or Amphibian","2020","10",3
"Terrestrial Reptile or Amphibian","2020","11",2
"Terrestrial Reptile or Amphibian","2021","03",2
"Terrestrial Reptile or Amphibian","2021","04",2
"Terrestrial Reptile or Amphibian","2021","05",13
"Terrestrial Reptile or Amphibian","2021","06",18
"Terrestrial Reptile or Amphibian","2021","07",5
"Terrestrial Reptile or Amphibian","2021","08",7
"Terrestrial Reptile or Amphibian","2021","09",2
"Terrestrial Reptile or Amphibian","2021","10",3
"Terrestrial Reptile or Amphibian","2021","12",3
"Terrestrial Reptile or Amphibian","2022","03",2
"Terrestrial Reptile or Amphibian","2022","04",5
"Terrestrial Reptile or Amphibian","2022","05",10
"Terrestrial Reptile or Amphibian","2022","06",18
"Terrestrial Reptile or Amphibian","2022","07",9
"Terrestrial Reptile or Amphibian","2022","08",9
"Terrestrial Reptile or Amphibian","2022","09",9
"Terrestrial Reptile or Amphibian","2022","10",5
"Terrestrial Reptile or Amphibian","2022","11",1
"Terrestrial Reptile or Amphibian","2022","12",1
"Terrestrial Reptile or Amphibian","2023","02",1
"Terrestrial Reptile or Amphibian","2023","03",3
"Terrestrial Reptile or Amphibian","2023","04",13
"Terrestrial Reptile or Amphibian","2023","05",17
"Terrestrial Reptile or Amphibian","2023","06",21
"Terrestrial Reptile or Amphibian","2023","07",11
"Terrestrial Reptile or Amphibian","2023","08",8
"Terrestrial Reptile or Amphibian","2023","09",6
"Terrestrial Reptile or Amphibian","2023","10",3
"Terrestrial Reptile or Amphibian","2023","11",2
"Terrestrial Reptile or Amphibian","2023","12",2
"Terrestrial Reptile or Amphibian","2024","02",2
"Terrestrial Reptile or Amphibian","2024","03",1
"Terrestrial Reptile or Amphibian","2024","04",2
"Terrestrial Reptile or Amphibian","2024","05",19
"Terrestrial Reptile or Amphibian","2024","06",18
